"phylum","class","order","family","genus","species","country","adm1","lon","lat"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Chungcheongnam-do","127.132847","36.788412"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Beijing","116.263041","40.031239"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Seoul","126.977969","37.56687"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Gangwon-do","128.145242","37.458099"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Gangwon-do","128.144631","37.457647"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Gangwon-do","128.389977","37.370474"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Gangwon-do","128.479722","37.259167"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Beijing","115.963511","39.727237"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Gangwon-do","128.410662","37.376329"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Gangwon-do","128.389977","37.370474"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Gangwon-do","128.457013","37.493426"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Gangwon-do","128.389977","37.375463"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Chungcheongbuk-do","127.424289","36.640171"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Zhejiang","119.002806","29.377325"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Shanghai","121.43991","31.217108"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Gangwon-do","128.479722","37.258889"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Seoul","126.965148","37.529057"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Seoul","126.961668","37.521866"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Beijing","116.247537","40.021228"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Shandong","121.403759","37.513904"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Daegu","128.584013","35.834052"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Hebei","114.499066","38.024566"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Gyeongsangbuk-do","128.446871","36.654063"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Beijing","116.407396","39.9042"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Gangwon-do","128.146344","37.458155"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Zhejiang","120.11865","30.255855"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Jiangsu","120.255828","31.4849"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Chungcheongnam-do","127.134135","36.788223"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Shanghai","121.217017","31.09923"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Zhejiang","119.419351","30.409721"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Anhui","118.36879","31.340338"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Hebei","114.442585","38.013375"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Beijing","116.381992","40.003679"
