"","acceptedScientificName","acceptedTaxonKey","accessRights","adm1","adm2","associatedReferences","associatedSequences","associatedTaxa","basisOfRecord","behavior","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","collectionKey","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","crawlId","dataGeneralizations","datasetID","datasetKey","datasetName","dateIdentified","day","dynamicProperties","elevation","elevationAccuracy","endDayOfYear","eventDate","eventID","eventRemarks","eventTime","family","familyKey","fieldNumber","footprintWKT","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","georeferenceSources","habitat","higherClassification","higherGeography","hostingOrganizationKey","http://unknown.org/language","http://unknown.org/license","http://unknown.org/nick","http://unknown.org/recordEnteredBy","http://unknown.org/recordId","http://unknown.org/rights","http://unknown.org/rightsHolder","identificationID","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","installationKey","institutionCode","institutionID","institutionKey","isInCluster","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","license","lifeStage","locality","locationAccordingTo","locationID","locationRemarks","lon","modified","month","municipality","nameAccordingTo","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","originalNameUsage","otherCatalogNumbers","phylum","phylumKey","preparations","programmeAcronym","projectId","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","rights","rightsHolder","samplingProtocol","scientificName","scientificNameID","sex","species","speciesKey","specificEpithet","startDayOfYear","taxonConceptID","taxonID","taxonKey","taxonomicStatus","taxonRank","type","verbatimEventDate","verbatimLocality","verbatimTaxonRank","vernacularName","year","downloadDate"
"228","Thaumatotibia leucotreta (Meyrick, 1913)",5879783,NA,NA,NA,NA,"https://www.ebi.ac.uk/ena/browser/api/embl/KJ592306",NA,"PRESERVED_SPECIMEN",NA,NA,"USNM:ENT:00808395","Insecta",216,"Coast, Taita Hills, Base of Mbololo, Kenya",NA,NA,NA,NA,NA,NA,"Kenya",1,NA,NA,"d8cd16ba-bb74-4420-821e-083f2bac17c2",NA,NA,3,NA,NA,NA,NA,"2012-03-03T00:00:00",NA,NA,NA,"Tortricidae",5343,NA,NA,"Kenya","3350356692","Thaumatotibia","Thaumatotibia",4707954,"WGS84",NA,NA,NA,NA,"fbca90e3-8aed-48b1-84e3-369afbd000ce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"John Brown","KJ592306",NA,NA,"fb5e4c2a-579c-434b-a446-3a665dd732ad",NA,NA,NA,TRUE,"KE",3350356692,"Animalia",1,NA,"2021-09-20T14:27:13.052+00:00","2021-09-23T14:12:39.289+00:00","2021-09-23T14:12:39.289+00:00",-3.36,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,"Coast, Taita Hills, Base of Mbololo",NA,NA,NA,38.459999,NA,3,NA,NA,NA,"KJ592306","Thaumatotibia leucotreta voucher USNM:ENT:00808395 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.","PRESENT","Lepidoptera",797,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","GB","ada9d123-ddb4-467d-8891-806ea8d94230","RS Copeland",NA,"https://www.ebi.ac.uk/ena/browser/view/KJ592306",NA,NA,NA,"Thaumatotibia leucotreta (Meyrick, 1913)",NA,NA,"Thaumatotibia leucotreta",5879783,"leucotreta",NA,"https://www.ebi.ac.uk/ena/browser/view/Taxon:463830","ASV:197db062b95652216f271f9f6ca1f458",5879783,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,2012,2021-10-25
"229","BOLD:AAE7729",10649617,NA,"Taita-Taveta",NA,NA,"https://www.ncbi.nlm.nih.gov/nuccore/KJ592260",NA,"MATERIAL_SAMPLE",NA,NA,"USNM ENT 00808456","Insecta",216,"Taita Hills, Kasigau forest, Taita-Taveta, Kenya",NA,NA,NA,NA,NA,NA,"Kenya",223,NA,NA,"040c5662-da76-4782-a48e-cdea1892d14c",NA,NA,10,NA,1071,0,NA,"2012-05-10T00:00:00",NA,"reared from fruit of Vepris fadenii",NA,"Tortricidae",5343,NA,NA,"Kenya","1414225126","BOLD:AAE7729","Thaumatotibia",4707954,"WGS84",NA,NA,NA,NA,"fbca90e3-8aed-48b1-84e3-369afbd000ce","en",NA,NA,NA,NA,"Creative Commons - Share Alike","Barcode of Life Datasystems",NA,"BOLD:AAE7729",NA,"John Brown","CHIES052-12",NA,NA,"fb5e4c2a-579c-434b-a446-3a665dd732ad",NA,NA,NA,TRUE,"KE",1414225126,"Animalia",1,NA,"2021-09-28T12:26:16.913+00:00","2021-09-28T13:06:43.914+00:00","2021-09-28T13:06:43.914+00:00",-3.827,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,"Taita Hills, Kasigau forest",NA,NA,NA,38.649,NA,5,NA,NA,NA,"http://bins.boldsystems.org/index.php/Public_RecordView?processid=CHIES052-12","Smithsonian Institution National Museum of Natural History","PRESENT","Lepidoptera",797,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE",NA,"b3bf3a83-1f68-4541-a03f-330d30d567f5","RS Copeland",NA,NA,NA,NA,NA,"BOLD:AAE7729",NA,NA,"Thaumatotibia leucotreta",5879783,NA,NA,"http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAE7729","http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAE7729",10649617,"ACCEPTED","UNRANKED",NA,NA,NA,NA,NA,2012,2021-10-25
"230","Thaumatotibia leucotreta (Meyrick, 1913)",5879783,NA,NA,NA,NA,"https://www.ebi.ac.uk/ena/browser/api/embl/KJ592260",NA,"PRESERVED_SPECIMEN",NA,NA,"USNM:ENT:00808456","Insecta",216,"Coast, Kasigau forest, Kenya",NA,NA,NA,NA,NA,NA,"Kenya",1,NA,NA,"d8cd16ba-bb74-4420-821e-083f2bac17c2",NA,NA,10,NA,NA,NA,NA,"2012-05-10T00:00:00",NA,NA,NA,"Tortricidae",5343,NA,NA,"Kenya","3347401799","Thaumatotibia","Thaumatotibia",4707954,"WGS84",NA,NA,NA,NA,"fbca90e3-8aed-48b1-84e3-369afbd000ce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"John Brown","KJ592260",NA,NA,"fb5e4c2a-579c-434b-a446-3a665dd732ad",NA,NA,NA,TRUE,"KE",3347401799,"Animalia",1,NA,"2021-09-20T14:27:13.052+00:00","2021-09-23T14:11:38.668+00:00","2021-09-23T14:11:38.668+00:00",-3.83,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,"Coast, Kasigau forest",NA,NA,NA,38.650002,NA,5,NA,NA,NA,"KJ592260","Thaumatotibia leucotreta voucher USNM:ENT:00808456 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.","PRESENT","Lepidoptera",797,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","GB","ada9d123-ddb4-467d-8891-806ea8d94230","RS Copeland",NA,"https://www.ebi.ac.uk/ena/browser/view/KJ592260",NA,NA,NA,"Thaumatotibia leucotreta (Meyrick, 1913)",NA,NA,"Thaumatotibia leucotreta",5879783,"leucotreta",NA,"https://www.ebi.ac.uk/ena/browser/view/Taxon:463830","ASV:32160d2c19f2e64e1aec8d2d02472289",5879783,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,2012,2021-10-25
"237","Thaumatotibia leucotreta (Meyrick, 1913)",5879783,NA,NA,"974","Les Hétérocères ou papillons de nuit de l’île de La Réunion - volumes 1 à 5 - Christian Guillermet",NA,NA,"HUMAN_OBSERVATION",NA,NA,NA,"Insecta",216,"974, Reunion",NA,NA,NA,NA,NA,5000,"Reunion",1,"Géographie transmise soumise à floutage (grille avec mailles de 10x10km) pour le grand public » en conformité avec les règles de diffusion du SINP | Geographic information generalized during aggregation (grid with 10x10km cells) for the general public, according to SINP communication rules","5976981F-4256-0823-E053-2614A8C090A2","656fa586-ec8a-4d27-aaa2-a54629c82296",NA,NA,16,NA,NA,NA,NA,"2011-03-16T00:00:00","a9ec1e00-baf5-457a-96a1-928cbb4c6802",NA,NA,"Tortricidae",5343,NA,NA,"Réunion","2580860077","Thaumatotibia","Thaumatotibia",4707954,"WGS84",NA,NA,NA,NA,"1928bdf0-f5d2-11dc-8c12-b8a03c50a862",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control could not be conclusive due to insufficient knowledge","Non renseigné (Non renseigné)","a9ec1e00-baf5-457a-96a1-928cbb4c6802",NA,NA,"07ea29ef-e386-4278-ae0f-095778a1b061","Parc national de La Réunion",NA,NA,FALSE,"RE",2580860077,"Animalia",1,NA,"2021-09-09T11:53:23.460+00:00","2021-09-23T19:10:25.791+00:00","2021-09-23T19:10:25.791+00:00",-21.10775,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,"Data isn’t the original geo referenced one, but attached to the nearest 10x10 km grid cell",55.31511,"2018-04-11T00:00:00.000+00:00",3,NA,"TAXREF v12",NA,"a9ec1e00-baf5-457a-96a1-928cbb4c6802",NA,"PRESENT","Lepidoptera",797,"Thaumatotibia leucotreta",NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","FR","1928bdf0-f5d2-11dc-8c12-b8a03c50a862","GUILLERMET Christian (indépendant)",NA,NA,NA,NA,NA,"Thaumatotibia leucotreta (Meyrick, 1913)",NA,NA,"Thaumatotibia leucotreta",5879783,"leucotreta",NA,NA,"713546",5879783,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,2011,2021-10-25
"238","BOLD:AAE7729",10649617,NA,"Gauteng",NA,NA,NA,NA,"MATERIAL_SAMPLE",NA,NA,"USNM ENT 00976433","Insecta",216,"Magaliesburg, farm Koesterfontein, Gauteng, South Africa",NA,NA,NA,NA,NA,NA,"South Africa",223,NA,NA,"040c5662-da76-4782-a48e-cdea1892d14c",NA,NA,14,NA,NA,NA,NA,"2010-03-14T00:00:00",NA,NA,NA,"Tortricidae",5343,NA,NA,"South Africa","1415707428","BOLD:AAE7729","Thaumatotibia",4707954,"WGS84",NA,"Moot plains, bushveld",NA,NA,"fbca90e3-8aed-48b1-84e3-369afbd000ce","en",NA,NA,NA,NA,"Creative Commons - Share Alike","Barcode of Life Datasystems",NA,"BOLD:AAE7729",NA,NA,"LNAUT1874-14",NA,NA,"fb5e4c2a-579c-434b-a446-3a665dd732ad",NA,NA,NA,FALSE,"ZA",1415707428,"Animalia",1,NA,"2021-09-28T12:26:16.913+00:00","2021-09-28T13:07:05.616+00:00","2021-09-28T13:07:05.616+00:00",-26.016,"http://creativecommons.org/licenses/by/4.0/legalcode","Adult","Magaliesburg, farm Koesterfontein",NA,NA,NA,27.475,NA,3,NA,NA,NA,"http://bins.boldsystems.org/index.php/Public_RecordView?processid=LNAUT1874-14","Smithsonian Institution National Museum of Natural History","PRESENT","Lepidoptera",797,NA,NA,"Arthropoda",54,"Tissue",NA,NA,"DWC_ARCHIVE",NA,"b3bf3a83-1f68-4541-a03f-330d30d567f5","S.Malan",NA,NA,NA,NA,NA,"BOLD:AAE7729",NA,NA,"Thaumatotibia leucotreta",5879783,NA,NA,"http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAE7729","http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAE7729",10649617,"ACCEPTED","UNRANKED",NA,NA,NA,NA,NA,2010,2021-10-25
"239","BOLD:AAE7729",10649617,NA,NA,NA,NA,"https://www.ncbi.nlm.nih.gov/nuccore/JF852495-SUPPRESSED",NA,"MATERIAL_SAMPLE",NA,NA,"Totr.00002","Insecta",216,"Kenya",NA,NA,NA,NA,NA,NA,"Kenya",223,NA,NA,"040c5662-da76-4782-a48e-cdea1892d14c",NA,NA,19,NA,1499,0,NA,"2010-08-19T00:00:00",NA,NA,NA,"Tortricidae",5343,NA,NA,"Kenya","1415642142","BOLD:AAE7729","Thaumatotibia",4707954,"WGS84",NA,NA,NA,NA,"fbca90e3-8aed-48b1-84e3-369afbd000ce","en",NA,NA,NA,NA,"Creative Commons - Share Alike","Barcode of Life Datasystems",NA,"BOLD:AAE7729",NA,"Neething Dutoit","KINS1010-10",NA,NA,"fb5e4c2a-579c-434b-a446-3a665dd732ad",NA,NA,NA,FALSE,"KE",1415642142,"Animalia",1,NA,"2021-09-28T12:26:16.913+00:00","2021-09-28T13:05:55.316+00:00","2021-09-28T13:05:55.316+00:00",-1.017,"http://creativecommons.org/licenses/by/4.0/legalcode","Adult",NA,NA,NA,NA,37.317,NA,8,NA,NA,NA,"http://bins.boldsystems.org/index.php/Public_RecordView?processid=KINS1010-10","International Centre of Insect Physiology and Ecology","PRESENT","Lepidoptera",797,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE",NA,"b3bf3a83-1f68-4541-a03f-330d30d567f5",NA,NA,NA,NA,NA,NA,"BOLD:AAE7729",NA,NA,"Thaumatotibia leucotreta",5879783,NA,NA,"http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAE7729","http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAE7729",10649617,"ACCEPTED","UNRANKED",NA,NA,NA,NA,NA,2010,2021-10-25
"242","Thaumatotibia leucotreta (Meyrick, 1913)",5879783,NA,"Rift Valley","Nakura",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"MEM 359194","Insecta",216,"5 km ENE of Gilgil, Rift Valley, Nakura, Kenya","MEM","681c0543-167b-4f2a-94d3-61e9d3183ad3","06323d33-14d6-40ee-aa05-76ea1918254e",NA,NA,NA,"Kenya",231,NA,NA,"9b12d595-11ea-4128-88ea-ed378eb9ea9a",NA,NA,30,NA,2108,NA,NA,"2010-11-30T00:00:00",NA,NA,NA,"Tortricidae",5343,NA,NA,"Kenya","1890892794","Thaumatotibia","Thaumatotibia",4707954,"WGS84",NA,NA,NA,NA,"a86e9e36-12ec-49a4-a94c-c0c981fffb71",NA,NA,NA,"VVentura","urn:uuid:302e7633-9dfe-4bd1-b4ca-af678af90904",NA,NA,NA,NA,NA,"Brown, R.L.","35380245",NA,NA,"2c733a9d-363d-4d66-9aef-3e0f7bc44bec","MISSA",NA,"027af406-0999-4652-9aa8-95c9a9ea678f",FALSE,"KE",1890892794,"Animalia",1,NA,"2021-10-17T11:00:53.996+00:00","2021-10-17T11:06:35.296+00:00","2021-10-17T11:06:35.296+00:00",-0.484389,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,"5 km ENE of Gilgil",NA,NA,NA,36.364694,"2018-07-31T12:58:09.000+00:00",11,NA,NA,NA,"302e7633-9dfe-4bd1-b4ca-af678af90904",NA,"PRESENT","Lepidoptera",797,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","US","c2ecae57-6701-485e-9ebd-5f87b2945cb2","Gilligan, T.M.",NA,"https://scan-bugs.org:443/portal/collections/individual/index.php?occid=35380245","http://creativecommons.org/publicdomain/zero/1.0/","Mississippi Entomological Museum","ultraviolet light","Thaumatotibia leucotreta (Meyrick, 1913)",NA,NA,"Thaumatotibia leucotreta",5879783,"leucotreta","334",NA,"638830",5879783,"ACCEPTED","SPECIES",NA,"30/Nov/2010",NA,NA,NA,2010,2021-10-25
"248","BOLD:AAE7729",10649617,NA,NA,NA,NA,"https://www.ncbi.nlm.nih.gov/nuccore/HM860219-SUPPRESSED",NA,"MATERIAL_SAMPLE",NA,NA,"RMCA ENT 000005309","Insecta",216,"Tanzania",NA,NA,NA,NA,NA,NA,"Tanzania",223,NA,NA,"040c5662-da76-4782-a48e-cdea1892d14c",NA,NA,5,NA,500,0,NA,"2009-07-05T00:00:00",NA,NA,NA,"Tortricidae",5343,"DP09148",NA,"Tanzania, United Republic of","1415603761","BOLD:AAE7729","Thaumatotibia",4707954,"WGS84",NA,NA,NA,NA,"fbca90e3-8aed-48b1-84e3-369afbd000ce","en",NA,NA,NA,NA,"Creative Commons - Share Alike","Barcode of Life Datasystems",NA,"BOLD:AAE7729",NA,"Jurate De Prins","JDPML019-10",NA,NA,"fb5e4c2a-579c-434b-a446-3a665dd732ad",NA,NA,NA,FALSE,"TZ",1415603761,"Animalia",1,NA,"2021-09-28T12:26:16.913+00:00","2021-09-28T13:07:36.554+00:00","2021-09-28T13:07:36.554+00:00",-6.83333,"http://creativecommons.org/licenses/by/4.0/legalcode","Adult",NA,NA,NA,NA,37.6333,NA,7,NA,NA,NA,"http://bins.boldsystems.org/index.php/Public_RecordView?processid=JDPML019-10","Royal Museum for Central Africa","PRESENT","Lepidoptera",797,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE",NA,"b3bf3a83-1f68-4541-a03f-330d30d567f5","J. & W. De Prins",NA,NA,NA,NA,NA,"BOLD:AAE7729",NA,NA,"Thaumatotibia leucotreta",5879783,NA,NA,"http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAE7729","http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAE7729",10649617,"ACCEPTED","UNRANKED",NA,NA,NA,NA,NA,2009,2021-10-25
"251","BOLD:AAE7729",10649617,NA,"Oyo",NA,NA,NA,NA,"MATERIAL_SAMPLE",NA,NA,"USNM ENT 00676901","Insecta",216,"Oyo, Nigeria",NA,NA,NA,NA,NA,NA,"Nigeria",223,NA,NA,"040c5662-da76-4782-a48e-cdea1892d14c",NA,NA,30,NA,240,0,NA,"2006-06-30T00:00:00",NA,NA,NA,"Tortricidae",5343,NA,NA,"Nigeria","1413929111","BOLD:AAE7729","Thaumatotibia",4707954,"WGS84",NA,NA,NA,NA,"fbca90e3-8aed-48b1-84e3-369afbd000ce","en",NA,NA,NA,NA,"Creative Commons - Share Alike","Barcode of Life Datasystems",NA,"BOLD:AAE7729",NA,"John Brown","AFTOR296-12",NA,NA,"fb5e4c2a-579c-434b-a446-3a665dd732ad",NA,NA,NA,FALSE,"NG",1413929111,"Animalia",1,NA,"2021-09-28T12:26:16.913+00:00","2021-09-28T13:07:27.696+00:00","2021-09-28T13:07:27.696+00:00",7.501,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,NA,NA,NA,NA,3.906,NA,6,NA,NA,NA,"http://bins.boldsystems.org/index.php/Public_RecordView?processid=AFTOR296-12","Smithsonian Institution National Museum of Natural History","PRESENT","Lepidoptera",797,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE",NA,"b3bf3a83-1f68-4541-a03f-330d30d567f5","GM Miller & TM Kuklenski",NA,NA,NA,NA,NA,"BOLD:AAE7729",NA,NA,"Thaumatotibia leucotreta",5879783,NA,NA,"http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAE7729","http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAE7729",10649617,"ACCEPTED","UNRANKED",NA,NA,NA,NA,NA,2006,2021-10-25
"257","BOLD:AAE7729",10649617,NA,"Nyanza",NA,NA,"https://www.ncbi.nlm.nih.gov/nuccore/KJ592371",NA,"MATERIAL_SAMPLE",NA,NA,"USNM ENT 00808060","Insecta",216,"Western mid-altitude, Ungoye, Nyanza, Kenya",NA,NA,NA,NA,NA,NA,"Kenya",223,NA,NA,"040c5662-da76-4782-a48e-cdea1892d14c",NA,NA,10,NA,1159,0,NA,"2005-04-10T00:00:00",NA,"reared from fruit of Blighia unijugata",NA,"Tortricidae",5343,NA,NA,"Kenya","1413928353","BOLD:AAE7729","Thaumatotibia",4707954,"WGS84",NA,NA,NA,NA,"fbca90e3-8aed-48b1-84e3-369afbd000ce","en",NA,NA,NA,NA,"Creative Commons - Share Alike","Barcode of Life Datasystems",NA,"BOLD:AAE7729",NA,"John Brown","AFMIC172-12",NA,NA,"fb5e4c2a-579c-434b-a446-3a665dd732ad",NA,NA,NA,TRUE,"KE",1413928353,"Animalia",1,NA,"2021-09-28T12:26:16.913+00:00","2021-09-28T13:05:33.059+00:00","2021-09-28T13:05:33.059+00:00",-0.613,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,"Western mid-altitude, Ungoye",NA,NA,NA,34.09,NA,4,NA,NA,NA,"http://bins.boldsystems.org/index.php/Public_RecordView?processid=AFMIC172-12","Smithsonian Institution National Museum of Natural History","PRESENT","Lepidoptera",797,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE",NA,"b3bf3a83-1f68-4541-a03f-330d30d567f5","RS Copeland",NA,NA,NA,NA,NA,"BOLD:AAE7729",NA,NA,"Thaumatotibia leucotreta",5879783,NA,NA,"http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAE7729","http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAE7729",10649617,"ACCEPTED","UNRANKED",NA,NA,NA,NA,NA,2005,2021-10-25
"259","Thaumatotibia leucotreta (Meyrick, 1913)",5879783,NA,NA,NA,NA,"https://www.ebi.ac.uk/ena/browser/api/embl/KJ592159",NA,"PRESERVED_SPECIMEN",NA,NA,"USNM:ENT:00808061","Insecta",216,"Nyanza, Western mid-altitude, Ungoye, Kenya",NA,NA,NA,NA,NA,NA,"Kenya",1,NA,NA,"d8cd16ba-bb74-4420-821e-083f2bac17c2",NA,NA,10,NA,NA,NA,NA,"2005-04-10T00:00:00",NA,NA,NA,"Tortricidae",5343,NA,NA,"Kenya","3350305774","Thaumatotibia","Thaumatotibia",4707954,"WGS84",NA,NA,NA,NA,"fbca90e3-8aed-48b1-84e3-369afbd000ce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"John Brown","KJ592159",NA,NA,"fb5e4c2a-579c-434b-a446-3a665dd732ad",NA,NA,NA,TRUE,"KE",3350305774,"Animalia",1,NA,"2021-09-20T14:27:13.052+00:00","2021-09-23T14:11:38.571+00:00","2021-09-23T14:11:38.571+00:00",-0.61,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,"Nyanza, Western mid-altitude, Ungoye",NA,NA,NA,34.09,NA,4,NA,NA,NA,"KJ592159","Thaumatotibia leucotreta voucher USNM:ENT:00808061 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.","PRESENT","Lepidoptera",797,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","GB","ada9d123-ddb4-467d-8891-806ea8d94230","RS Copeland",NA,"https://www.ebi.ac.uk/ena/browser/view/KJ592159",NA,NA,NA,"Thaumatotibia leucotreta (Meyrick, 1913)",NA,NA,"Thaumatotibia leucotreta",5879783,"leucotreta",NA,"https://www.ebi.ac.uk/ena/browser/view/Taxon:463830","ASV:a0321147792383f0131d7e27ea50352b",5879783,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,2005,2021-10-25
"262","BOLD:AAE7729",10649617,NA,"Rift Valley",NA,NA,"https://www.ncbi.nlm.nih.gov/nuccore/KJ592074",NA,"MATERIAL_SAMPLE",NA,NA,"USNM ENT 00676528","Insecta",216,"Western Highlands, Kitale-Marich Pass road, Rift Valley, Kenya",NA,NA,NA,NA,NA,NA,"Kenya",223,NA,NA,"040c5662-da76-4782-a48e-cdea1892d14c",NA,NA,17,NA,1510,0,NA,"2005-12-17T00:00:00",NA,"rf. fruit: Pappea capensis",NA,"Tortricidae",5343,NA,NA,"Kenya","1413928846","BOLD:AAE7729","Thaumatotibia",4707954,"WGS84",NA,NA,NA,NA,"fbca90e3-8aed-48b1-84e3-369afbd000ce","en",NA,NA,NA,NA,"Creative Commons - Share Alike","Barcode of Life Datasystems",NA,"BOLD:AAE7729",NA,"John Brown","AFTOR074-12",NA,NA,"fb5e4c2a-579c-434b-a446-3a665dd732ad",NA,NA,NA,TRUE,"KE",1413928846,"Animalia",1,NA,"2021-09-28T12:26:16.913+00:00","2021-09-28T13:08:08.243+00:00","2021-09-28T13:08:08.243+00:00",1.398,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,"Western Highlands, Kitale-Marich Pass road",NA,NA,NA,35.341,NA,12,NA,NA,NA,"http://bins.boldsystems.org/index.php/Public_RecordView?processid=AFTOR074-12","Smithsonian Institution National Museum of Natural History","PRESENT","Lepidoptera",797,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE",NA,"b3bf3a83-1f68-4541-a03f-330d30d567f5","RS Copeland",NA,NA,NA,NA,NA,"BOLD:AAE7729",NA,NA,"Thaumatotibia leucotreta",5879783,NA,NA,"http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAE7729","http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAE7729",10649617,"ACCEPTED","UNRANKED",NA,NA,NA,NA,NA,2005,2021-10-25
"263","Thaumatotibia leucotreta (Meyrick, 1913)",5879783,NA,NA,NA,NA,"https://www.ebi.ac.uk/ena/browser/api/embl/KJ592074",NA,"PRESERVED_SPECIMEN",NA,NA,"USNM:ENT:00676528","Insecta",216,"Rift Valley, Western Highlands, Kitale-Marich Pass road, Kenya",NA,NA,NA,NA,NA,NA,"Kenya",1,NA,NA,"d8cd16ba-bb74-4420-821e-083f2bac17c2",NA,NA,17,NA,NA,NA,NA,"2005-12-17T00:00:00",NA,NA,NA,"Tortricidae",5343,NA,NA,"Kenya","3350416691","Thaumatotibia","Thaumatotibia",4707954,"WGS84",NA,NA,NA,NA,"fbca90e3-8aed-48b1-84e3-369afbd000ce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"John Brown","KJ592074",NA,NA,"fb5e4c2a-579c-434b-a446-3a665dd732ad",NA,NA,NA,TRUE,"KE",3350416691,"Animalia",1,NA,"2021-09-20T14:27:13.052+00:00","2021-09-23T14:12:40.925+00:00","2021-09-23T14:12:40.925+00:00",1.4,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,"Rift Valley, Western Highlands, Kitale-Marich Pass road",NA,NA,NA,35.34,NA,12,NA,NA,NA,"KJ592074","Thaumatotibia leucotreta voucher USNM:ENT:00676528 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.","PRESENT","Lepidoptera",797,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","GB","ada9d123-ddb4-467d-8891-806ea8d94230","RS Copeland",NA,"https://www.ebi.ac.uk/ena/browser/view/KJ592074",NA,NA,NA,"Thaumatotibia leucotreta (Meyrick, 1913)",NA,NA,"Thaumatotibia leucotreta",5879783,"leucotreta",NA,"https://www.ebi.ac.uk/ena/browser/view/Taxon:463830","ASV:197db062b95652216f271f9f6ca1f458",5879783,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,2005,2021-10-25
