"phylum","class","order","family","genus","species","country","adm1","lon","lat"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Bohuslän","11.57336","58.17201"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Halland","13.03021","56.68077"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Limburg","6.1","51.15"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Noord-Holland","4.7","52.9"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Zuid-Holland","4.35","52.1"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Noord-Holland","4.55","52.4"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Noord-Brabant","4.3","51.4"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Norway","Vestland","5.338399","60.361636"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Denmark","Nez","12.0539","56.042702"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Denmark","Nej","10.4208","57.5975"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Norway","Innlandet","9.820706","61.586001"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Utrecht","5.25","52.2"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Zuid-Holland","4.4557","52.1619"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Finland","Ahvenanmaa (A)","20.181258","59.970667"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Norway","Rogaland","6.260422","58.351655"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Norway","Viken","10.911054","59.088843"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Finland","Etelä-Karjala (EK)","26.905924","60.545594"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Finland","Pohjois-Savo (PS)","28.052631","63.004906"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Noord-Holland","4.6","52.6"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Gelderland","5.65","52.05"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Overijssel","6.95","52.25"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Zeeland","4","51.4"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Noord-Brabant","5.3","51.5"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Zuid-Holland","4.1","51.95"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Overijssel","6.15","52.6"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Zeeland","3.7","51.65"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Friesland","5.95","52.95"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Noord-Holland","4.55","52.45"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Overijssel","6.65","52.15"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Drenthe","7","52.7"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Flevoland","5.45","52.45"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Gelderland","6.3","51.95"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Overijssel","6.5","52.5"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","South Korea",NA,"127.641156","37.445147"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Skåne","13.45284","55.70473"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Halland","12.62897","56.78472"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Noord-Brabant","5.2","51.55"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Zuid-Holland","4.55","52"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Utrecht","5.4","52.1"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Drenthe","6.35","52.7"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Noord-Brabant","5.1","51.7"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Drenthe","6.35","52.75"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Zeeland","3.9","51.7"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Drenthe","6.4","52.6"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Overijssel","6.75","52.15"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Utrecht","5.4","52"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Norway","Agder","7.866646","58.130065"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","South Korea","Chungcheongnam-do","127.20797","36.796822"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Utrecht","5.35","52.1"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","South Korea",NA,"127.420943","37.280717"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","South Korea",NA,"127.597825","37.28912"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Västergötland","13.62911","58.23656"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Halland","13.1877","56.68364"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Uppland","18.6126","60.11443"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Hälsingland","16.56876","61.84416"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Denmark","Sj","8.92036","55.089901"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Noord-Brabant","5.35","51.65"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Finland","Etelä-Savo (ES)","28.802997","61.879919"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Norway","Vestfold og Telemark","10.043821","59.23587"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Norway","Vestfold og Telemark","10.196903","59.029266"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Norway","Rogaland","5.925135","58.526783"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Germany",NA,"12.343301","51.314037"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Zuid-Holland","4.2","52.05"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","France",NA,"1.36076","46.80345"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Zuid-Holland","4.35","51.95"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Drenthe","7.05","52.65"
